MarkNumber	model	etype	robust	closed	occupancy	derived	default.mixtures	num	divisor	strata	simulate	LD	nDerived
69	RDPdGHet	RDPdGHet	TRUE	TRUE	FALSE	TRUE	2	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
70	RDPdGFullHet	RDPdGFullHet	TRUE	TRUE	FALSE	TRUE	2	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
71	RDPdGHugHet	RDPdGHugHet	TRUE	TRUE	FALSE	TRUE	2	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
72	RDPdGHugFullHet	RDPdGHugFullHet	TRUE	TRUE	FALSE	TRUE	2	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
79	RDPdLClosed	RDPdLClosed	TRUE	TRUE	FALSE	TRUE	1	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
80	RDPdLHuggins	RDPdLHuggins	TRUE	TRUE	FALSE	TRUE	1	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
81	RDPdLHet	RDPdLHet	TRUE	TRUE	FALSE	TRUE	2	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
82	RDPdLFullHet	RDPdLFullHet	TRUE	TRUE	FALSE	TRUE	2	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
83	RDPdLHugHet	RDPdLHugHet	TRUE	TRUE	FALSE	TRUE	2	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
84	RDPdLHugFullHet	RDPdLHugFullHet	TRUE	TRUE	FALSE	TRUE	2	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
91	RDPdfClosed	RDPdfClosed	TRUE	TRUE	FALSE	TRUE	1	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
92	RDPdfHuggins	RDPdfHuggins	TRUE	TRUE	FALSE	TRUE	1	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
93	RDPdfHet	RDPdfHet	TRUE	TRUE	FALSE	TRUE	2	0	1	FALSE	TRUE	FALSE	ngrps*(nprimy+2*(nprimy-1))
