MarkNumber	dpar_label	Group	Strata	Occasion	OccNum	Session	SessNum
119	Alpha	TRUE	TRUE	TRUE	secnocc	FALSE	0
119	Arrival	TRUE	TRUE	FALSE	0	TRUE	nocc
119	Departure	TRUE	TRUE	FALSE	0	TRUE	nocc
120	Mu Mean Resighting Rate	TRUE	FALSE	TRUE	secnocc	FALSE	0
120	N Population Estimate	TRUE	FALSE	TRUE	secnocc	FALSE	0
124	Phi_t transition matrix	TRUE	TRUE	FALSE	0	FALSE	0
124	1-psi	TRUE	TRUE	FALSE	0	TRUE	nocc
124	psi	TRUE	TRUE	FALSE	0	TRUE	nocc
124	psi_1	TRUE	TRUE	FALSE	0	TRUE	nocc
124	psi_2	TRUE	TRUE	FALSE	0	TRUE	nocc
126	N Population Size	TRUE	TRUE	FALSE	0	TRUE	nocc
126	Method1RT Residency Time	TRUE	TRUE	FALSE	0	TRUE	nocc
126	Method2RT Residency Time	TRUE	TRUE	FALSE	0	TRUE	nocc
126	Alpha	TRUE	TRUE	TRUE	secnocc	FALSE	0
126	Arrival	TRUE	TRUE	FALSE	0	TRUE	nocc
126	Departure	TRUE	TRUE	FALSE	0	TRUE	nocc
127	Density	TRUE	FALSE	FALSE	0	FALSE	0
128	Density	TRUE	FALSE	FALSE	0	FALSE	0
129	Density	TRUE	FALSE	FALSE	0	FALSE	0
131	Lambda Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
131	log(Lambda) Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
132	Lambda Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
132	log(Lambda) Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
133	Lambda Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
133	log(Lambda) Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
134	Lambda Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
134	log(Lambda) Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
136	Lambda Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
136	log(Lambda) Population Change	TRUE	FALSE	TRUE	nocc-1	FALSE	0
137	SIF Species Interaction Factor	TRUE	FALSE	FALSE	0	FALSE	0
137	OccupancySpeciesB	TRUE	FALSE	FALSE	0	FALSE	0
137	OccupancyBoth Species	TRUE	FALSE	FALSE	0	FALSE	0
141	SpeciesAOccupancy	TRUE	FALSE	FALSE	0	TRUE	nocc
141	SpeciesB|A Occupancy	TRUE	FALSE	FALSE	0	TRUE	nocc
141	SpeciesB|not A Occupancy	TRUE	FALSE	FALSE	0	TRUE	nocc
141	SpeciesBOccupancy	TRUE	FALSE	FALSE	0	TRUE	nocc
141	OccupancyBoth Species	TRUE	FALSE	FALSE	0	TRUE	nocc
141	SIF Species Interaction Factor	TRUE	FALSE	FALSE	0	TRUE	nocc
142	Method1RT Individual Residency Time	TRUE	TRUE	FALSE	0	TRUE	nocc
142	Method1ADT Attribute Duration Time	TRUE	TRUE	FALSE	0	TRUE	nocc
142	Method2ADT Attribute Duration Time	TRUE	TRUE	FALSE	0	TRUE	nocc
144	Method1IRT Individual Residency Time	TRUE	FALSE	FALSE	0	FALSE	0
144	Alpha	TRUE	FALSE	TRUE	nocc	FALSE	0
144	Arrival	TRUE	FALSE	FALSE	0	FALSE	0
144	Departure	TRUE	FALSE	FALSE	0	FALSE	0
145	N Population Size	TRUE	FALSE	FALSE	0	FALSE	0
146	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
147	N Population Size	NA	NA	FALSE	0	TRUE	nocc
148	N Population Size	NA	NA	FALSE	0	TRUE	nocc
148	Lambda Population Change	NA	NA	FALSE	0	TRUE	nocc-1
148	log(Lambda) Population Change	NA	NA	FALSE	0	TRUE	nocc-1
149	N Population Size	NA	NA	FALSE	0	TRUE	nocc
149	Lambda Population Change	NA	NA	FALSE	0	TRUE	nocc-1
149	log(Lambda) Population Change	NA	NA	FALSE	0	TRUE	nocc-1
150	N Population Size	NA	NA	FALSE	0	TRUE	nocc
150	Lambda Population Change	NA	NA	FALSE	0	TRUE	nocc-1
150	log(Lambda) Population Change	NA	NA	FALSE	0	TRUE	nocc-1
151	Occupancy	TRUE	FALSE	FALSE	0	FALSE	0
152	gamma Probability Colonization	NA	NA	FALSE	0	TRUE	nocc-1
152	lambda Rate of Change	NA	NA	FALSE	0	TRUE	nocc-1
152	logodds(lambda)	NA	NA	FALSE	0	TRUE	nocc-1
153	epsilon Probabiliy Extinction	NA	NA	FALSE	0	TRUE	nocc-1
153	lambda Rate of Change	NA	NA	FALSE	0	TRUE	nocc-1
153	logodds(lambda)	NA	NA	FALSE	0	TRUE	nocc-1
154	psi Probability Occupied	NA	NA	FALSE	0	TRUE	nocc
154	lambda Rate of Change	NA	NA	FALSE	0	TRUE	nocc-1
154	logodds(lambda)	NA	NA	FALSE	0	TRUE	nocc-1
155	S Overall Survival	NA	NA	FALSE	0	FALSE	0
158	Mu Mean Resighting Rate	TRUE	FALSE	TRUE	secnocc	FALSE	0
159	Mu Mean Resighting Rate	TRUE	FALSE	TRUE	secnocc	FALSE	0
159	Population Estimate	TRUE	FALSE	TRUE	secnocc	FALSE	0
160	N Population Size	TRUE	FALSE	TRUE	nocc	FALSE	0
160	Lambda Mean Resightings	TRUE	FALSE	TRUE	nocc	FALSE	0
160	Pr(Captured 1 or more times)	TRUE	FALSE	TRUE	nocc	FALSE	0
161	Density	TRUE	FALSE	FALSE	0	FALSE	0
171	N Population Size	TRUE	FALSE	TRUE	nocc	FALSE	0
171	Lambda Mean Resightings	TRUE	FALSE	TRUE	nocc	FALSE	0
171	Pr(Captured 1 or more times)	TRUE	FALSE	TRUE	nocc	FALSE	0
172	N Population Size	TRUE	FALSE	TRUE	nocc	FALSE	0
172	Lambda Mean Resightings	TRUE	FALSE	TRUE	nocc	FALSE	0
172	Pr(Captured 1 or more times)	TRUE	FALSE	TRUE	nocc	FALSE	0
173	N Population Size	TRUE	FALSE	TRUE	nocc	FALSE	0
173	Lambda Mean Resightings	TRUE	FALSE	TRUE	nocc	FALSE	0
173	Pr(Captured 1 or more times)	TRUE	FALSE	TRUE	nocc	FALSE	0
174	N Population Size	TRUE	FALSE	TRUE	nocc	FALSE	0
174	Lambda Mean Resightings	TRUE	FALSE	TRUE	nocc	FALSE	0
174	Pr(Captured 1 or more times)	TRUE	FALSE	TRUE	nocc	FALSE	0
175	psi	TRUE	FALSE	FALSE	0	TRUE	nocc
175	lambda	TRUE	FALSE	FALSE	0	TRUE	nocc-1
175	lambdaprime	TRUE	FALSE	FALSE	0	TRUE	nocc-1
177	Psi	TRUE	FALSE		0	FALSE	0
183	N*	TRUE	FALSE	FALSE	0	FALSE	0
183	N_TSA(s*t)	TRUE	TRUE	TRUE	nocc	FALSE	0
183	N_TSA(t)	TRUE	FALSE	TRUE	nocc	FALSE	0
183	N(s*t)	TRUE	TRUE	TRUE	nocc	FALSE	0
183	N(t)	TRUE	FALSE	TRUE	nocc	FALSE	0
183	Ingress	TRUE	FALSE	FALSE	0	FALSE	0
183	Egress	TRUE	FALSE	FALSE	0	FALSE	0
183	ResTime1	TRUE	FALSE	FALSE	0	FALSE	0
183	ResTime2	TRUE	FALSE	FALSE	0	FALSE	0
184	Method1IRT 1 Individual Residency Time	TRUE	TRUE	FALSE	0	TRUE	nocc
184	Method1ADT Attribute Duration Time	TRUE	TRUE	FALSE	0	TRUE	nocc
184	Method2ADT Attribute Duration Time	TRUE	TRUE	FALSE	0	TRUE	nocc

